listening_hours_per_week,songs_per_day,skip_rate,playlist_count
3.1,4,0.36,1
29.9,55,0.17,14
15.1,32,0.47,7
28.9,59,0.19,13
3.3,3,0.49,3
19.2,53,0.22,17
2.9,9,0.52,2
31.5,52,0.11,18
4.8,2,0.48,2
28.4,53,0.18,19
9.7,37,0.3,8
23.0,69,0.1,17
27.5,45,0.26,11
11.5,22,0.4,10
3.2,6,0.38,3
10.3,27,0.43,7
29.0,55,0.14,17
2.6,6,0.33,1
31.3,57,0.12,14
15.8,34,0.34,7
8.1,22,0.46,10
5.4,15,0.49,1
24.0,56,0.26,13
13.6,25,0.25,7
15.0,34,0.31,10
31.5,54,0.11,16
4.2,4,0.49,3
13.6,32,0.33,7
2.5,11,0.64,2
29.3,51,0.05,13
29.1,51,0.09,21
3.0,4,0.84,2
17.3,24,0.43,10
5.5,7,0.5,1
17.9,23,0.31,7
14.7,19,0.22,12
31.0,65,0.04,13
14.4,23,0.4,11
12.2,27,0.33,6
32.6,61,0.15,9
30.9,52,0.16,12
30.5,53,0.07,15
28.1,52,0.16,15
17.8,33,0.38,10
24.8,52,0.12,10
4.5,10,0.5,2
28.9,35,0.16,17
16.7,29,0.48,8
13.3,23,0.34,5
2.0,9,0.42,4
3.2,7,0.55,4
33.4,52,0.15,15
16.4,36,0.41,8
3.6,7,0.37,3
1.9,10,0.52,3
14.7,24,0.24,8
13.4,28,0.42,8
3.9,6,0.5,2
6.0,13,0.36,2
3.6,10,0.53,3
19.8,62,0.07,12
2.7,5,0.36,4
12.2,29,0.27,7
15.2,29,0.6,10
12.1,23,0.21,6
26.0,53,0.11,15
28.2,62,0.11,17
6.8,7,0.37,2
4.4,12,0.38,3
2.2,9,0.53,2
3.1,8,0.43,1
3.8,8,0.34,4
10.4,25,0.33,9
15.6,41,0.31,9
26.7,52,0.07,17
3.4,5,0.54,2
15.9,27,0.31,12
28.3,50,0.16,17
13.5,28,0.27,6
4.3,8,0.36,3
33.4,60,0.14,12
14.8,30,0.43,7
16.9,25,0.48,3
2.3,9,0.53,0
29.2,41,0.12,16
26.2,35,0.25,18
14.2,28,0.23,10
5.0,8,0.29,3
15.8,26,0.4,9
3.3,8,0.5,3
13.0,27,0.37,8
11.5,20,0.29,9
11.5,28,0.38,10
11.9,26,0.36,8
36.3,67,0.21,12
4.3,14,0.45,2
15.9,35,0.3,8
3.7,8,0.51,1
4.1,6,0.57,2
11.8,35,0.48,10
15.8,31,0.35,5
2.4,6,0.48,3
3.3,9,0.48,0
34.4,60,0.22,14
24.6,55,0.17,16
6.4,8,0.33,1
4.6,9,0.64,2
26.1,51,0.09,12
29.9,64,0.16,11
32.8,47,0.06,16
3.6,1,0.48,2
4.0,7,0.44,3
20.3,39,0.37,6
29.3,53,0.12,15
14.0,18,0.33,11
37.8,45,0.09,13
11.0,35,0.34,7
3.3,7,0.48,4
2.3,5,0.56,3
20.5,45,0.03,14
27.1,43,0.17,16
26.9,53,0.17,15
4.7,9,0.47,3
34.0,65,0.07,17
29.7,44,0.18,17
14.3,30,0.51,9
37.1,46,0.19,10
5.2,5,0.31,1
1.8,7,0.43,0
9.8,29,0.26,8
5.1,2,0.51,1
12.0,28,0.46,13
1.9,7,0.37,1
22.1,53,0.13,14
31.3,53,0.15,16
12.5,37,0.19,14
4.3,8,0.72,2
24.1,67,0.21,13
5.6,4,0.44,1
13.9,41,0.25,8
26.3,64,0.05,15
3.5,15,0.5,3
26.4,42,0.19,9
6.3,13,0.47,3
14.1,29,0.29,4
4.9,4,0.33,1
12.5,36,0.37,10
30.6,61,0.09,12
28.7,76,0.16,11
28.5,61,0.31,18
1.4,10,0.3,3
13.4,31,0.26,11
5.2,8,0.48,1
5.2,7,0.32,2
14.3,23,0.51,11
12.3,31,0.35,9
16.5,30,0.41,10
24.9,46,0.16,15
27.8,46,0.07,18
15.9,23,0.35,7
3.3,8,0.5,2
1.1,6,0.47,0
5.5,6,0.34,2
24.3,38,0.07,13
14.7,21,0.27,9
4.5,9,0.5,1
26.2,55,0.15,14
18.8,33,0.33,9
35.5,49,0.11,10
12.6,30,0.29,10
26.0,56,0.18,13
23.5,59,0.21,13
2.2,9,0.56,2
5.5,10,0.47,2
13.1,39,0.27,9
4.5,10,0.41,1
32.2,49,0.21,13
24.0,58,0.15,19
24.6,54,0.1,14
4.5,8,0.46,2
4.5,11,0.37,2
16.4,29,0.21,9
3.7,11,0.53,2
3.5,6,0.47,1
29.4,70,0.17,15
35.5,46,0.3,11
12.3,31,0.44,7
1.1,9,0.6,1
31.1,55,0.16,15
29.9,61,0.1,13
3.8,13,0.58,3
3.0,12,0.47,0
26.6,45,0.25,16
11.5,32,0.34,9
34.7,68,0.14,10
16.4,25,0.39,10
13.4,23,0.27,11
17.5,18,0.4,7
14.9,28,0.24,7
20.4,28,0.4,13
11.3,24,0.17,6
32.4,54,0.26,13
6.2,8,0.35,1
20.9,62,0.11,14
16.0,37,0.49,13
16.0,30,0.34,5
1.4,6,0.48,2
16.2,37,0.18,8
29.5,64,0.21,11
16.5,15,0.27,7
